"subject","university","question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"economics","ALL","The Purchasing Power Parity (PPP) theory of exchange rate determination predicts that exchange rates between two currencies will be determined by:","Relative interest rate differentials between the two countries","Relative price levels (inflation rates) in the two countries","The bilateral trade balance between the two countries","Relative gold and foreign reserve holdings of each central bank","B","PPP theory (absolute and relative forms) holds that exchange rates adjust to equalise the purchasing power of currencies across countries. In its relative form, the percentage change in the exchange rate equals the differential in inflation rates between the two countries (consistent with the law of one price)."
"economics","ALL","Nigeria's Structural Adjustment Programme (SAP), introduced in 1986 under the Babangida administration, included all of the following EXCEPT:","Devaluation of the naira through a Second-tier Foreign Exchange Market (SFEM)","Privatisation and commercialisation of public enterprises","Removal of subsidies on petroleum products and other commodities","Pegging the naira to the US dollar at a fixed official rate","D","SAP's key components were trade liberalisation, devaluation (via SFEM which replaced the fixed official exchange rate with a market-determined rate), removal of subsidies, privatisation, and fiscal discipline. Pegging the naira at a fixed rate was precisely what SAP abolished — it moved Nigeria away from a fixed exchange rate regime."
"economics","ALL","A Gini coefficient of 0 for a country's income distribution indicates:","Perfect inequality, where one individual earns all national income","Perfect equality, where income is distributed evenly across all individuals","A poverty headcount of zero","That 50% of the population earns 50% of national income","B","The Gini coefficient ranges from 0 (Lorenz curve coincides with the line of perfect equality — everyone earns the same) to 1 (Lorenz curve is maximally bowed — one person earns everything). A Gini of 0 means perfect income equality."
"economics","ALL","Agricultural products typically have inelastic supply in the short run primarily because:","Farmers earn high profits and have no incentive to expand output","The production cycle is long and seasonal, preventing rapid output adjustments in response to price changes","Government price controls prevent supply from responding to market prices","Agricultural land is in perfectly inelastic supply everywhere","B","Agricultural output is constrained by biological production cycles (planting to harvest), weather dependence, and fixed seasonal capacity. Farmers cannot immediately increase crop output when prices rise — supply can only respond meaningfully in the next planting season, making short-run supply highly inelastic."
"economics","ALL","Which of the following transactions would be recorded as a CREDIT entry in Nigeria's current account of the balance of payments?","Nigerian firms importing machinery from Germany","The Nigerian government repaying principal on a foreign loan","Nigerian crude oil exported to China","A foreign company making a direct investment in a Nigerian refinery","C","Current account credits represent inflows of foreign exchange. Exports of goods are credit entries (foreign buyers pay Nigeria). Importing machinery is a debit (outflow). Loan principal repayment affects the financial account. FDI is a financial account transaction."
"economics","ALL","When a consumer's income increases and commodity prices remain unchanged, the budget line will:","Rotate outward from the vertical intercept","Shift outward in parallel (same slope, higher intercepts)","Change slope without shifting","Shift inward in parallel","B","The slope of the budget line equals -Px/Py (the price ratio), which is unchanged when only income changes. A higher income raises both intercepts proportionally, shifting the budget line outward parallel to its original position — expanding the feasible consumption set without changing relative prices."
"economics","ALL","A perfectly competitive firm in long-run equilibrium operates at a point where:","Price equals marginal cost only, with economic profit possible","Price equals average variable cost and the firm is indifferent to shutting down","Price equals marginal cost AND minimum average total cost, earning zero economic profit","Price exceeds marginal cost to cover unavoidable fixed costs","C","Long-run competitive equilibrium requires: P = MR = MC (profit maximisation) and P = minimum LRAC (free entry/exit drives economic profit to zero). At minimum LRAC, MC = AC. All three conditions converge: P = MC = min AC = 0 economic profit."
"economics","ALL","Nigeria joined the Organisation of Petroleum Exporting Countries (OPEC) in:","1960","1965","1971","1975","C","Nigeria joined OPEC in July 1971, six years after the discovery of commercial oil quantities. Nigeria's membership became particularly significant during the 1973 oil embargo and subsequent oil price boom, which transformed Nigeria's federal revenues and accelerated the shift from an agricultural to a petroleum-dependent economy."
"economics","ALL","The Laffer Curve relationship between tax rates and government tax revenue implies that:","Tax revenue always increases monotonically as the tax rate rises toward 100%","A zero tax rate and a 100% tax rate both yield zero government revenue, implying an optimal rate exists between these extremes","A flat tax rate always maximises government revenue","Higher tax rates always reduce investment and economic output regardless of the initial rate","B","The Laffer Curve shows that at a 0% rate, revenue is zero; at 100%, no one works so revenue is also zero. In between lies a revenue-maximising rate. Beyond this optimal rate, higher taxes discourage productive activity enough to reduce total revenue — the theoretical basis for supply-side tax cut arguments."
"economics","ALL","As a firm substitutes more labour for capital along an isoquant (moving down the isoquant), the Marginal Rate of Technical Substitution (MRTS) of labour for capital:","Remains constant, reflecting fixed-proportion production technology","Increases as labour becomes relatively more abundant","Diminishes, reflecting the declining marginal productivity of labour relative to capital as more labour is used","Is always equal to the ratio of output prices in competitive markets","C","MRTS = MPL/MPK. As more labour is substituted for capital along an isoquant, MPL falls (diminishing marginal returns to labour) and MPK rises (capital becomes scarcer). Hence MRTS = MPL/MPK declines — the firm must add increasing amounts of labour to compensate for each unit of capital removed. This is the principle of diminishing MRTS."
