"subject","university","question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"crs","ALL","In the Parable of the Prodigal Son (Luke 15:11-32), what was the father's immediate response when he saw his returning son while the son was still a great distance away?","He waited at the door of the house and prepared a speech of rebuke","He sent his chief servant to escort the son home with appropriate dignity","He ran to meet him, embraced him, and kissed him","He first consulted with the elder son before deciding how to receive him","C","Luke 15:20: 'But when he was yet a great way off, his father saw him, and had compassion, and ran, and fell on his neck, and kissed him.' The father's running was culturally significant — a dignified Middle Eastern patriarch would not run. It depicts God's eager, undignified pursuit of the repentant sinner."
"crs","ALL","After Elijah fled to Mount Horeb in fear of Jezebel (1 Kings 19), God's self-revelation to him came NOT through the great wind, the earthquake, or the fire, but through:","A pillar of cloud by day and a pillar of fire by night","An angel standing with a drawn sword","A still small voice (a sound of gentle stillness)","A thunderclap accompanied by God's audible command","C","1 Kings 19:11-13 records that God was not in the mighty wind, not in the earthquake, not in the fire — but after the fire there came a 'still small voice' (Hebrew: qol demamah daqah — a sound of thin silence/gentle whisper). This marks a contrast with Elijah's expectation of dramatic divine power."
"crs","ALL","Jeremiah's New Covenant prophecy (Jeremiah 31:31-34) differs fundamentally from the Mosaic covenant primarily because in the New Covenant, God promises to:","Give Israel new borders extending to the Euphrates and Mediterranean","Write his law on their hearts rather than on tablets of stone","Establish a new Levitical priesthood to replace the corrupt one","Make Israel politically sovereign over all surrounding nations","B","Jeremiah 31:33: 'I will put my law within them, and I will write it on their hearts. And I will be their God, and they shall be my people.' The Mosaic Law was external (stone tablets); the New Covenant law is internalised. Hebrews 8 and 10 interpret this prophecy as fulfilled in Christ's new covenant."
"crs","ALL","When Daniel and his three companions proposed to avoid defilement by the Babylonian king's food, Daniel asked the chief official to test them for how many days on vegetables and water?","3 days","7 days","10 days","21 days","C","Daniel 1:12-14: 'Please test your servants for ten days; let us be given vegetables to eat and water to drink. Then let our appearance and the appearance of the youths who eat the king's food be observed by you...' After ten days they looked healthier than all who ate the royal food."
"crs","ALL","According to Mark's Gospel specifically (Mark 14:30, 72), how many times did the rooster crow after Peter completed his three denials of Jesus?","Once","Twice","Three times","Mark does not specify the number of times","B","Mark 14:30 records Jesus warning: 'before the cock crows twice, you will deny me three times' — and Mark 14:72 confirms: 'the cock crowed a second time.' Matthew, Luke, and John mention only one crowing. Mark's double-crowing detail is a unique Marcan feature, possibly reflecting Peter's own eyewitness account."
"crs","ALL","In the Book of Ruth (Ruth 4:1-10), before Boaz could legally marry Ruth and redeem Naomi's land as kinsman-redeemer, he was legally required to:","Obtain formal approval from the elders sitting at the city gate","Pay a double bride price to Naomi as compensation","Allow a nearer kinsman-redeemer the first right of redemption","Seek Naomi's permission and present Ruth with a betrothal gift","C","Israelite law (Leviticus 25; Deuteronomy 25) required that the nearest male relative had first right to redeem family land and marry a widow. Boaz approached the unnamed nearer kinsman who initially agreed but withdrew when he learned marrying Ruth would endanger his own inheritance (Ruth 4:6), clearing the way for Boaz."
"crs","ALL","In 1 Corinthians 12, Paul's extended analogy of the human body with many members (hands, feet, eyes, ears) is used primarily to teach:","The supremacy of the gift of tongues as the most public evidence of the Spirit","That all believers should seek identical gifts to achieve perfect unity","The diversity and interdependence of spiritual gifts, and that every member of the body of Christ is indispensable","That only apostles and prophets are authorised to operate the sign gifts","C","1 Corinthians 12:14-27 argues that if the whole body were one member there would be no body. God has arranged the members — the seemingly weaker or less honourable parts being especially indispensable — so that there is no division, but that the members care for one another equally. The conclusion: diversity within unity."
"crs","ALL","On the Day of Pentecost (Acts 2), Peter quoted the prophet Joel to explain the Spirit's outpouring. According to Joel's prophecy as quoted, all of the following were promised EXCEPT:","Sons and daughters prophesying","Young men seeing visions","Old men dreaming dreams","Angels descending visibly upon the gathered believers","D","Acts 2:17-18 (quoting Joel 2:28-29) promises: sons and daughters shall prophesy, young men shall see visions, old men shall dream dreams, and God's servants (male and female) shall prophesy. Angelic descent to the gathered community is not part of Joel's prophecy quoted by Peter."
"crs","ALL","In the Lord's Prayer as taught by Jesus in Matthew 6:9-13, the petition immediately following 'Give us this day our daily bread' is a request for:","Deliverance from evil (the evil one)","The coming of God's kingdom on earth","Forgiveness of debts/trespasses, conditioned on our forgiving others","Protection from entering into temptation","C","The Lord's Prayer sequence in Matthew 6: hallowed be your name → your kingdom come → your will be done → daily bread → forgiveness of debts as we forgive our debtors → lead us not into temptation → deliver us from evil. The bread petition is immediately followed by the mutual forgiveness petition (v.12)."
"crs","ALL","According to Exodus 20, the commandment 'You shall not make for yourself a carved image or any likeness of anything in heaven above or on earth beneath' (the prohibition of idolatry) is the:","First commandment","Second commandment","Third commandment","Fourth commandment","B","The Ten Commandments in Exodus 20: (1) No other gods before me (v.3); (2) No carved images/idols (vv.4-6); (3) No misuse of God's name (v.7); (4) Remember the Sabbath (vv.8-11); (5) Honour parents (v.12); (6)-(10): murder, adultery, stealing, false witness, coveting. The idol prohibition is the second commandment."
